feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
orig_stats3	Original	DT	grid_best_fold1	0.63	0.4722222222222222	0.4857142857142857	0.4788732394366197	0.6512087912087912
orig_stats3	Original	DT	grid_best_fold2	0.61	0.4473684210526316	0.4857142857142857	0.4657534246575342	0.6162637362637363
orig_stats3	Original	DT	grid_best_fold3	0.69	0.6	0.4166666666666667	0.4918032786885246	0.6302083333333334
orig_stats3	Original	DT	grid_best_fold4	0.64	0.5	0.4166666666666667	0.45454545454545453	0.587890625
orig_stats3	Original	DT	grid_best_fold5	0.64	0.5	0.4722222222222222	0.4857142857142857	0.6649305555555556
orig_stats3	Original	DT	grid_best_fold6	0.72	0.6333333333333333	0.5277777777777778	0.5757575757575758	0.6779513888888888
orig_stats3	Original	DT	grid_best_fold7	0.59	0.43243243243243246	0.4444444444444444	0.4383561643835616	0.6640625
orig_stats3	Original	DT	grid_best_fold8	0.67	0.5384615384615384	0.5833333333333334	0.56	0.6909722222222222
orig_stats3	Original	DT	grid_best_fold9	0.62	0.48214285714285715	0.75	0.5869565217391305	0.6957465277777778
orig_stats3	Original	DT	grid_best_fold10	0.65	0.5111111111111111	0.6388888888888888	0.5679012345679012	0.6875
orig_stats3	Original	RF	grid_best_fold1	0.56	0.3902439024390244	0.45714285714285713	0.42105263157894735	0.621978021978022
orig_stats3	Original	RF	grid_best_fold2	0.62	0.4634146341463415	0.5428571428571428	0.5	0.6514285714285715
orig_stats3	Original	RF	grid_best_fold3	0.7	0.59375	0.5277777777777778	0.5588235294117647	0.7721354166666666
orig_stats3	Original	RF	grid_best_fold4	0.62	0.46153846153846156	0.3333333333333333	0.3870967741935484	0.7152777777777778
orig_stats3	Original	RF	grid_best_fold5	0.66	0.5294117647058824	0.5	0.5142857142857142	0.7241753472222222
orig_stats3	Original	RF	grid_best_fold6	0.69	0.5862068965517241	0.4722222222222222	0.5230769230769231	0.781032986111111
orig_stats3	Original	RF	grid_best_fold7	0.63	0.48484848484848486	0.4444444444444444	0.463768115942029	0.6848958333333334
orig_stats3	Original	RF	grid_best_fold8	0.66	0.5238095238095238	0.6111111111111112	0.5641025641025641	0.732421875
orig_stats3	Original	RF	grid_best_fold9	0.65	0.5128205128205128	0.5555555555555556	0.5333333333333333	0.7506510416666666
orig_stats3	Original	RF	grid_best_fold10	0.64	0.5	0.5277777777777778	0.5135135135135135	0.7000868055555556
orig_stats3	Original	KNN	grid_best_fold1	0.59	0.4375	0.6	0.5060240963855421	0.5923076923076922
orig_stats3	Original	KNN	grid_best_fold2	0.64	0.48484848484848486	0.45714285714285713	0.47058823529411764	0.5978021978021978
orig_stats3	Original	KNN	grid_best_fold3	0.67	0.5483870967741935	0.4722222222222222	0.5074626865671642	0.6935763888888888
orig_stats3	Original	KNN	grid_best_fold4	0.62	0.47058823529411764	0.4444444444444444	0.45714285714285713	0.5815972222222222
orig_stats3	Original	KNN	grid_best_fold5	0.65	0.5142857142857142	0.5	0.5070422535211268	0.6171875
orig_stats3	Original	KNN	grid_best_fold6	0.68	0.5769230769230769	0.4166666666666667	0.4838709677419355	0.6223958333333334
orig_stats3	Original	KNN	grid_best_fold7	0.68	0.5588235294117647	0.5277777777777778	0.5428571428571428	0.6467013888888888
orig_stats3	Original	KNN	grid_best_fold8	0.65	0.5121951219512195	0.5833333333333334	0.5454545454545454	0.6354166666666667
orig_stats3	Original	KNN	grid_best_fold9	0.65	0.5128205128205128	0.5555555555555556	0.5333333333333333	0.6293402777777778
orig_stats3	Original	KNN	grid_best_fold10	0.71	0.5945945945945946	0.6111111111111112	0.6027397260273972	0.6883680555555556
orig_stats3	Original	LR	grid_best_fold1	0.67	0.5294117647058824	0.5142857142857142	0.5217391304347826	0.7103296703296703
orig_stats3	Original	LR	grid_best_fold2	0.58	0.4186046511627907	0.5142857142857142	0.46153846153846156	0.6386813186813187
orig_stats3	Original	LR	grid_best_fold3	0.67	0.5483870967741935	0.4722222222222222	0.5074626865671642	0.7426215277777778
orig_stats3	Original	LR	grid_best_fold4	0.63	0.4827586206896552	0.3888888888888889	0.4307692307692308	0.6961805555555556
orig_stats3	Original	LR	grid_best_fold5	0.61	0.44	0.3055555555555556	0.36065573770491804	0.6979166666666667
orig_stats3	Original	LR	grid_best_fold6	0.62	0.46153846153846156	0.3333333333333333	0.3870967741935484	0.7309027777777778
orig_stats3	Original	LR	grid_best_fold7	0.55	0.36363636363636365	0.3333333333333333	0.34782608695652173	0.6128472222222222
orig_stats3	Original	LR	grid_best_fold8	0.61	0.4634146341463415	0.5277777777777778	0.4935064935064935	0.673611111111111
orig_stats3	Original	LR	grid_best_fold9	0.63	0.4857142857142857	0.4722222222222222	0.4788732394366197	0.6979166666666666
orig_stats3	Original	LR	grid_best_fold10	0.64	0.5	0.4166666666666667	0.45454545454545453	0.6783854166666667
orig_stats3	Original	SVC	grid_best_fold1	0.6	0.38095238095238093	0.22857142857142856	0.2857142857142857	0.6958241758241758
orig_stats3	Original	SVC	grid_best_fold2	0.69	0.5833333333333334	0.4	0.4745762711864407	0.7046153846153846
orig_stats3	Original	SVC	grid_best_fold3	0.65	0.5172413793103449	0.4166666666666667	0.46153846153846156	0.7200520833333334
orig_stats3	Original	SVC	grid_best_fold4	0.62	0.4583333333333333	0.3055555555555556	0.36666666666666664	0.7256944444444444
orig_stats3	Original	SVC	grid_best_fold5	0.59	0.35294117647058826	0.16666666666666666	0.22641509433962265	0.6766493055555556
orig_stats3	Original	SVC	grid_best_fold6	0.62	0.4444444444444444	0.2222222222222222	0.2962962962962963	0.7105034722222223
orig_stats3	Original	SVC	grid_best_fold7	0.5	0.18181818181818182	0.1111111111111111	0.13793103448275862	0.5737847222222222
orig_stats3	Original	SVC	grid_best_fold8	0.63	0.47619047619047616	0.2777777777777778	0.3508771929824561	0.701171875
orig_stats3	Original	SVC	grid_best_fold9	0.65	0.5333333333333333	0.2222222222222222	0.3137254901960784	0.6790364583333334
orig_stats3	Original	SVC	grid_best_fold10	0.64	0.5	0.16666666666666666	0.25	0.6909722222222222
orig_stats3	Original	AdaBoost	grid_best_fold1	0.57	0.40476190476190477	0.4857142857142857	0.44155844155844154	0.6593406593406593
orig_stats3	Original	AdaBoost	grid_best_fold2	0.6	0.42424242424242425	0.4	0.4117647058823529	0.665054945054945
orig_stats3	Original	AdaBoost	grid_best_fold3	0.59	0.43243243243243246	0.4444444444444444	0.4383561643835616	0.71484375
orig_stats3	Original	AdaBoost	grid_best_fold4	0.7	0.6153846153846154	0.4444444444444444	0.5161290322580645	0.7508680555555556
orig_stats3	Original	AdaBoost	grid_best_fold5	0.66	0.5357142857142857	0.4166666666666667	0.46875	0.7243923611111112
orig_stats3	Original	AdaBoost	grid_best_fold6	0.68	0.5625	0.5	0.5294117647058824	0.7625868055555556
orig_stats3	Original	AdaBoost	grid_best_fold7	0.61	0.45454545454545453	0.4166666666666667	0.43478260869565216	0.7013888888888888
orig_stats3	Original	AdaBoost	grid_best_fold8	0.7	0.5789473684210527	0.6111111111111112	0.5945945945945946	0.741970486111111
orig_stats3	Original	AdaBoost	grid_best_fold9	0.69	0.5806451612903226	0.5	0.5373134328358209	0.7578125
orig_stats3	Original	AdaBoost	grid_best_fold10	0.66	0.5294117647058824	0.5	0.5142857142857142	0.7092013888888888
orig_stats3	Original	GradientBoosting	grid_best_fold1	0.62	0.46511627906976744	0.5714285714285714	0.5128205128205128	0.6843956043956043
orig_stats3	Original	GradientBoosting	grid_best_fold2	0.6	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.6523076923076923
orig_stats3	Original	GradientBoosting	grid_best_fold3	0.67	0.5428571428571428	0.5277777777777778	0.5352112676056338	0.765625
orig_stats3	Original	GradientBoosting	grid_best_fold4	0.62	0.4583333333333333	0.3055555555555556	0.36666666666666664	0.6979166666666666
orig_stats3	Original	GradientBoosting	grid_best_fold5	0.67	0.5454545454545454	0.5	0.5217391304347826	0.7387152777777778
orig_stats3	Original	GradientBoosting	grid_best_fold6	0.64	0.5	0.3611111111111111	0.41935483870967744	0.7712673611111112
orig_stats3	Original	GradientBoosting	grid_best_fold7	0.64	0.5	0.4722222222222222	0.4857142857142857	0.6905381944444444
orig_stats3	Original	GradientBoosting	grid_best_fold8	0.69	0.5641025641025641	0.6111111111111112	0.5866666666666667	0.7664930555555556
