feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
mega_full	Original	DT	grid_best_fold1	0.63	0.46875	0.42857142857142855	0.44776119402985076	0.6789010989010988
mega_full	Original	DT	grid_best_fold2	0.6	0.4418604651162791	0.5428571428571428	0.48717948717948717	0.5909890109890109
mega_full	Original	DT	grid_best_fold3	0.67	0.5405405405405406	0.5555555555555556	0.547945205479452	0.6449652777777778
mega_full	Original	DT	grid_best_fold4	0.61	0.44	0.3055555555555556	0.36065573770491804	0.5434027777777779
mega_full	Original	DT	grid_best_fold5	0.66	0.525	0.5833333333333334	0.5526315789473685	0.654296875
mega_full	Original	DT	grid_best_fold6	0.62	0.4666666666666667	0.3888888888888889	0.42424242424242425	0.5694444444444444
mega_full	Original	DT	grid_best_fold7	0.63	0.48717948717948717	0.5277777777777778	0.5066666666666667	0.7020399305555556
mega_full	Original	DT	grid_best_fold8	0.66	0.525	0.5833333333333334	0.5526315789473685	0.6432291666666666
mega_full	Original	DT	grid_best_fold9	0.63	0.49230769230769234	0.8888888888888888	0.6336633663366337	0.6924913194444444
mega_full	Original	DT	grid_best_fold10	0.62	0.4	0.1111111111111111	0.17391304347826086	0.6480034722222223
mega_full	Original	RF	grid_best_fold1	0.62	0.46808510638297873	0.6285714285714286	0.5365853658536586	0.6795604395604395
mega_full	Original	RF	grid_best_fold2	0.67	0.5294117647058824	0.5142857142857142	0.5217391304347826	0.7015384615384616
mega_full	Original	RF	grid_best_fold3	0.73	0.6451612903225806	0.5555555555555556	0.5970149253731343	0.80078125
mega_full	Original	RF	grid_best_fold4	0.66	0.5454545454545454	0.3333333333333333	0.41379310344827586	0.7322048611111112
mega_full	Original	RF	grid_best_fold5	0.66	0.5357142857142857	0.4166666666666667	0.46875	0.7213541666666666
mega_full	Original	RF	grid_best_fold6	0.65	0.5172413793103449	0.4166666666666667	0.46153846153846156	0.7565104166666667
mega_full	Original	RF	grid_best_fold7	0.61	0.4594594594594595	0.4722222222222222	0.4657534246575342	0.6653645833333334
mega_full	Original	RF	grid_best_fold8	0.68	0.5454545454545454	0.6666666666666666	0.6	0.755642361111111
mega_full	Original	RF	grid_best_fold9	0.67	0.5384615384615384	0.5833333333333334	0.56	0.7426215277777778
mega_full	Original	RF	grid_best_fold10	0.62	0.47368421052631576	0.5	0.4864864864864865	0.6974826388888888
mega_full	Original	KNN	grid_best_fold1	0.56	0.3902439024390244	0.45714285714285713	0.42105263157894735	0.5362637362637362
mega_full	Original	KNN	grid_best_fold2	0.65	0.5	0.5142857142857142	0.5070422535211268	0.687032967032967
mega_full	Original	KNN	grid_best_fold3	0.66	0.53125	0.4722222222222222	0.5	0.6937934027777777
mega_full	Original	KNN	grid_best_fold4	0.62	0.4583333333333333	0.3055555555555556	0.36666666666666664	0.6931423611111112
mega_full	Original	KNN	grid_best_fold5	0.6	0.42857142857142855	0.3333333333333333	0.375	0.6614583333333334
mega_full	Original	KNN	grid_best_fold6	0.69	0.6086956521739131	0.3888888888888889	0.4745762711864407	0.7339409722222223
